Date,Open,High,Low,Close,Adj Close,Volume
2002-01-02,33.325001,33.555000,32.755001,33.520000,20.705479,48124000
2002-01-03,33.555000,34.625000,33.544998,34.615002,21.381868,67590800
2002-01-04,34.625000,34.955002,34.334999,34.450001,21.279951,52731400
2002-01-07,34.875000,35.009998,34.174999,34.279999,21.174940,58508800
2002-01-08,34.345001,34.930000,34.000000,34.689999,21.428192,47736400
2002-01-09,34.860001,35.310001,34.275002,34.355000,21.221262,76304000
2002-01-10,34.240002,34.900002,34.064999,34.639999,21.397308,50296600
2002-01-11,34.759998,35.160000,34.049999,34.305000,21.190388,72993200
2002-01-14,34.150002,34.520000,33.869999,34.235001,21.147144,50997800
2002-01-15,34.330002,34.810001,34.250000,34.775002,21.480696,60717400
2002-01-16,34.424999,34.919998,33.924999,33.935001,20.961817,61955400
2002-01-17,34.264999,35.000000,34.200001,34.930000,21.576448,78958000
2002-01-18,33.549999,33.924999,32.709999,33.049999,20.415167,107140400
2002-01-22,33.305000,33.314999,32.125000,32.230000,19.908642,76837200
2002-01-23,32.025002,32.355000,31.620001,31.870001,19.686266,80403000
2002-01-24,32.049999,32.590000,31.900000,32.299999,19.951878,83886000
2002-01-25,32.095001,32.424999,31.754999,31.900000,19.704800,48981200
2002-01-28,32.115002,32.200001,31.455000,31.910000,19.710976,41622000
2002-01-29,31.950001,32.250000,30.995001,31.160000,19.247694,58666000
2002-01-30,31.225000,31.450001,30.665001,31.424999,19.411386,66100000
2002-01-31,31.530001,31.905001,31.059999,31.855000,19.677000,69566200
2002-02-01,32.075001,32.250000,31.235001,31.330000,19.352705,63462200
2002-02-04,31.200001,31.344999,30.375000,30.559999,18.877071,70308400
2002-02-05,30.400000,31.115000,30.250000,30.575001,18.886339,66772600
2002-02-06,30.805000,30.945000,30.125000,30.200001,18.654699,66103000
2002-02-07,30.150000,30.805000,29.875000,29.900000,18.469387,63314000
2002-02-08,30.059999,30.330000,29.415001,30.325001,18.731916,61283000
2002-02-11,30.004999,30.620001,29.795000,30.565001,18.880156,50899600
2002-02-12,30.245001,30.424999,30.010000,30.070000,18.574398,44973800
2002-02-13,30.129999,30.940001,29.975000,30.910000,19.093264,54168600
2002-02-14,31.000000,31.495001,30.660000,30.840000,19.050035,57267000
2002-02-15,30.850000,31.030001,30.100000,30.115000,18.602196,50179800
2002-02-19,29.955000,30.070000,29.299999,29.465000,18.200687,52262600
